First Name,Last Name,Party,Region,latitude,longitude,Province,Municipality.City,Position,Year,fat
FERDINAND,ALLEN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2004,0
FERDINAND,ALLEN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2007,0
DAVID,ALUNDAY,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,COUNCILOR,2004,0
RAFAEL,ALVIS,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,COUNCILOR,2010,0
RAFAEL,ALVIS,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
RAFAEL,ALVIS,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
BYRONE,ALZATE,AKSYON,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2013,0
ANACLETO,ALZATE,IND,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,1
BETZAIDA,ALZATE,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,VICE MAYOR,2007,1
FIDES DEBBIE,ALZATE,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,COUNCILOR,2007,1
SERAFIN,ALZATE,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2007,1
BETZAIDA,ALZATE,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,VICE MAYOR,2004,0
BYRONE,ALZATE,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2016,1
RODRIGO,AMMASI,IND,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
RODRIGO,AMMASI,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
CLARO,ANAASAN,PMP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,COUNCILOR,2010,0
MARIFEL,ANDANAN,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,TUBO,COUNCILOR,2010,0
LEONARD,ANDANAN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2013,0
LEONARD,ANDANAN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2016,0
JHONY,ANDOY,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2004,0
JHONY,ANDOY,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGAYAN,COUNCILOR,2007,0
JERRY,ANDRES,IND.,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MANABO,COUNCILOR,2010,0
JERRY,ANDRES,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
JERRY,ANDRES,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
JOEL SR.,ANIOAY,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
BRUNO,ANNIBAN,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
BRUNO,ANNIBAN,PMP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCLOC,COUNCILOR,2010,0
ROBERT,ARDANIEL,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DOLORES,COUNCILOR,2010,0
ROBERT,ARDANIEL,PDPLBN,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
ROBERT,ARDANIEL,PMP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
SIXTO,ARIOTA,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DOLORES,COUNCILOR,2007,0
SIXTO,ARIOTA,NP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DOLORES,COUNCILOR,2010,0
MARILYN,ARIOTA,NP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
MARILYN,ARIOTA,PDPLBN,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
SIXTO,ARIOTA,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DOLORES,COUNCILOR,2004,0
DAVID,ASENCIO,PMP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LUBA,COUNCILOR,2004,0
CRESENCIO,ASPACIO,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,COUNCILOR,2004,0
CRESENCIO,ASPACIO,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,VICE MAYOR,2007,0
CRESENCIO,ASPACIO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,VICE MAYOR,2010,0
CRESENCIO,ASPACIO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE MAYOR,2013,0
ALFREDA,ASPACIO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
ANICETO JORDANI,ASTUDILLO,IND.,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCAY,COUNCILOR,2010,0
JORDANI,ASTUDILLO,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
JORDAN,ASTUDILLO,NPC,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCAY,COUNCILOR,2007,0
CARMELO L.,ATMOSFERA,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,PENARRUBIA,VICE MAYOR,2007,1
RODERICK,ATMOSFERA,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,COUNCILOR,2007,1
CARMELO L.,ATMOSFERA,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,PENARRUBIA,VICE MAYOR,2010,1
RODERICK,ATMOSFERA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LAGANGILANG,COUNCILOR,2010,1
CARMELO,ATMOSFERA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
RODERICK,ATMOSFERA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
MARY ANN,ATMOSFERA,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,1
RODERICK,ATMOSFERA,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE MAYOR,2016,1
DOMINGA,AURELIO,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,TUBO,COUNCILOR,2007,0
ROY,AYABA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,TINEG,COUNCILOR,2010,0
ROY,AYABA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
ROY,AYABA,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
MARILYN,AYSON,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
MARILYN,AYSON,PDPLBN,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
EMAN,AZADA,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LICUAN-BAAY (LICUAN),COUNCILOR,2007,0
EMAN,AZADA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LICUAN-BAAY (LICUAN),COUNCILOR,2010,0
FELIX ULYSSES,AZNAR,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,SAN QUINTIN,COUNCILOR,2004,1
GEROLDO,AZNAR,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,SAN QUINTIN,VICE MAYOR,2007,0
ARMANDO,AZNAR,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,SAN QUINTIN,COUNCILOR,2004,1
GEROLDO,AZNAR,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE MAYOR,2013,0
GEROLDO,AZNAR,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE MAYOR,2016,0
MARIO,BAAWA,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,VICE MAYOR,2007,0
RUBY,BAAWA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
MARIO,BAAWA,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,MAYOR,2004,0
VICTOR,BABILA,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
RODRIGO,BACCANI,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DANGLAS,COUNCILOR,2010,0
RODRIGO,BACCANI,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
RODRIGO,BACCANI,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
ALLEN BRIX,BACHILLER,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2007,1
CHRISTOPHER JOY,BACHILLER,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,COUNCILOR,2007,1
CHRISTOPHER JOY,BACHILLER,LDP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,COUNCILOR,2010,1
ALLEN BRIX,BACHILLER,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2010,1
ALLEN BRIX,BACHILLER,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BANGUED,COUNCILOR,2004,0
ALLEN BRIX,BACHILLER,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
ALLEN BRIX,BACHILLER,NP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2013,1
CHRISTOPHER,BACHILLER,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
BENIDO,BACUYAG,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,MAYOR,2007,0
BENIDO,BACUYAG,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,MAYOR,2010,0
BENIDO,BACUYAG,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,MAYOR,2013,0
ROMANDO,BACUYAG,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,MAYOR,2016,0
BENIDO,BACUYAG,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,VICE MAYOR,2004,0
JACOBO,BADUA,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LA PAZ,COUNCILOR,2007,0
JONAHLYN,BAGANI,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LUBA,COUNCILOR,2010,0
DIONIBI,BAGAY,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,SAN ISIDRO,COUNCILOR,2007,0
OLIVER,BAG-AYAN,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DAGUIOMAN,COUNCILOR,2007,0
OLIVER,BAG-AYAN,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DAGUIOMAN,VICE MAYOR,2010,0
OLIVER,BAG-AYAN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE MAYOR,2013,0
OLIVER,BAG-AYAN,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE MAYOR,2016,0
ROBERT,BAGAYAO,KAMPI/LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,COUNCILOR,2007,0
AMELITO,BAGNO,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,VILLAVICIOSA,COUNCILOR,2007,0
AMELITO,BAGNO,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,VILLAVICIOSA,COUNCILOR,2010,0
AMELITO,BAGNO,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
AMELITO,BAGNO,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,VILLAVICIOSA,COUNCILOR,2004,0
LYNDSY,BALAGSO,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,DAGUIOMAN,COUNCILOR,2004,0
YOLANDA,BALANAY,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,SAN ISIDRO,COUNCILOR,2007,0
YOLANDA,BALANAY,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,SAN ISIDRO,COUNCILOR,2010,0
ANTONIO,BALANAY,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
YOLANDA,BALANAY,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
ANTONIO,BALANAY,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
AGAPITO,BALANGCAD,IND,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,0
AGAPITO,BALANGCAD,KAMPI,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MANABO,COUNCILOR,2007,0
AGAPITO,BALANGCAD,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MANABO,COUNCILOR,2004,0
AGAPITO,BALANGCAD,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MANABO,COUNCILOR,2010,0
LAARNI,BALANGCAD,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,0
PAUL,BALANSI,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,MALIBCONG,COUNCILOR,2004,0
CONRADO,BALAOAG,INDEPENDENT,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LACUB,COUNCILOR,2004,0
CONRADO,BALAOAG,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,LACUB,COUNCILOR,2007,0
RONALD,BALAO-AS,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,MAYOR,2004,1
BALNAWI,BALAO-AS,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,COUNCILOR,2007,1
RONALD,BALAO-AS,LAKAS-CMD,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,MAYOR,2007,1
DUMLAO,BALAO-AS,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,COUNCILOR,2010,1
FERDINAND,BALAO-AS,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCLOC,COUNCILOR,2010,1
RONALD,BALAO-AS,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,MAYOR,2010,1
BENIDO,BALAO-AS,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,MAYOR,2013,1
DUMLAO,BALAO-AS,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2013,1
BALNAWI,BALAO-AS,NPC,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,COUNCILOR,2004,1
BENIDO,BALAO-AS,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,MAYOR,2016,1
DUMLAO,BALAO-AS,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,COUNCILOR,2016,1
JULIUS,BALAO-AS,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE MAYOR,2016,1
RONALD,BALAO-AS,NUP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,VICE GOVERNOR,2016,1
FERDINAND,BALAO-AS,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCLOC,COUNCILOR,2004,1
FERDINAND,BALAO-AS,PDSP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BUCLOC,COUNCILOR,2007,1
BENIDO,BALAO-AS,PMP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,BOLINEY,COUNCILOR,2007,1
KATHLEEN MARIA,BALBIN,LKS-KAM,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2010,0
KATHLEEN MARIA,BALBIN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2013,0
KATHLEEN MARIA,BALBIN,LP,CORDILLERA ADMINISTRATIVE REGION,17.58,120.78,ABRA,,PROVINCIAL BOARD MEMBER,2016,0
